City,Region,Margin_Range,Count,Accuracy,Percentage
Harbin,Island,"[0.0, 0.2)",527,49.71537001897533,0.34075185247449213
Harbin,Island,"[0.2, 0.4)",685,54.16058394160584,0.44291274942130376
Harbin,Island,"[0.4, 0.6)",794,59.823677581863976,0.5133908365554966
Harbin,Island,"[0.6, 0.8)",1349,67.6056338028169,0.8722471517800567
Harbin,Island,"[0.8, 1.0]",151303,98.83611032167241,97.83069740976865
Harbin,Bridge,"[0.0, 0.2)",378,50.79365079365079,4.985491954629386
Harbin,Bridge,"[0.2, 0.4)",443,56.20767494356659,5.842785544711158
Harbin,Bridge,"[0.4, 0.6)",512,55.46875,6.752835663413348
Harbin,Bridge,"[0.6, 0.8)",852,53.63849765258216,11.237140596148773
Harbin,Bridge,"[0.8, 1.0]",5397,64.51732443950343,71.18174624109733
London,Island,"[0.0, 0.2)",708,47.740112994350284,0.6683028129129697
London,Island,"[0.2, 0.4)",942,46.602972399150744,0.8891825561638663
London,Island,"[0.4, 0.6)",1228,54.56026058631922,1.1591466868038514
London,Island,"[0.6, 0.8)",1896,51.42405063291139,1.7896922786482916
London,Island,"[0.8, 1.0]",101166,90.4266255461321,95.49367566547102
London,Bridge,"[0.0, 0.2)",486,55.96707818930041,2.603803911063488
London,Bridge,"[0.2, 0.4)",577,53.20623916811091,3.091347441735869
London,Bridge,"[0.4, 0.6)",687,48.7627365356623,3.680685775515671
London,Bridge,"[0.6, 0.8)",1283,56.74201091192518,6.87382802035896
London,Bridge,"[0.8, 1.0]",15632,72.76100307062437,83.75033485132602
Moscow,Island,"[0.0, 0.2)",946,55.708245243128964,0.6097207272821022
Moscow,Island,"[0.2, 0.4)",1220,53.442622950819676,0.7863205996661361
Moscow,Island,"[0.4, 0.6)",1422,55.62587904360057,0.916514666168234
Moscow,Island,"[0.6, 0.8)",2081,44.2575684766939,1.3412566950042861
Moscow,Island,"[0.8, 1.0]",149484,90.35548955072115,96.34618731187923
Moscow,Bridge,"[0.0, 0.2)",241,44.398340248962654,2.779059040590406
Moscow,Bridge,"[0.2, 0.4)",163,50.306748466257666,1.8796125461254611
Moscow,Bridge,"[0.4, 0.6)",276,73.91304347826086,3.1826568265682655
Moscow,Bridge,"[0.6, 0.8)",462,58.87445887445888,5.327490774907749
Moscow,Bridge,"[0.8, 1.0]",7530,65.59096945551128,86.83118081180811
Paris,Island,"[0.0, 0.2)",4195,53.659117997616214,1.8324858905138823
Paris,Island,"[0.2, 0.4)",4578,60.484927916120576,1.9997903234261154
Paris,Island,"[0.4, 0.6)",6020,66.0797342192691,2.62969369747165
Paris,Island,"[0.6, 0.8)",10500,74.02857142857144,4.586675053729622
Paris,Island,"[0.8, 1.0]",203631,94.46695247776616,88.95135503485872
Paris,Bridge,"[0.0, 0.2)",203,48.76847290640394,3.640602582496413
Paris,Bridge,"[0.2, 0.4)",186,48.924731182795696,3.335724533715925
Paris,Bridge,"[0.4, 0.6)",258,37.2093023255814,4.626972740315638
Paris,Bridge,"[0.6, 0.8)",384,34.63541666666667,6.886657101865136
Paris,Bridge,"[0.8, 1.0]",4545,47.54675467546755,81.51004304160688
